suite,task_id,trajectory_id,length,first_step,last_step,task
libero_spatial,0,task_0/episode_0,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_1,17,0,16,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_10,44,0,43,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_11,17,0,16,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_12,18,0,17,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_13,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_14,15,0,14,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_15,14,0,13,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_16,14,0,13,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_18,14,0,13,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_19,18,0,17,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_2,18,0,17,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_20,30,0,29,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_21,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_22,15,0,14,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_23,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_24,15,0,14,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_25,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_26,14,0,13,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_27,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_28,21,0,20,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_29,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_3,19,0,18,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_30,15,0,14,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_31,15,0,14,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_33,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_35,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_36,15,0,14,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_38,44,0,43,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_39,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_4,17,0,16,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_40,14,0,13,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_41,15,0,14,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_42,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_43,14,0,13,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_44,18,0,17,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_45,14,0,13,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_46,15,0,14,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_47,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_48,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_49,16,0,15,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_5,44,0,43,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_6,13,0,12,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_7,44,0,43,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,task_0/episode_8,17,0,16,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,1,task_1/episode_0,22,0,21,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_1,23,0,22,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_10,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_11,23,0,22,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_12,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_13,23,0,22,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_14,23,0,22,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_15,22,0,21,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_16,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_17,22,0,21,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_18,22,0,21,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_19,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_2,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_20,31,0,30,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_21,23,0,22,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_22,22,0,21,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_23,23,0,22,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_25,22,0,21,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_27,23,0,22,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_28,22,0,21,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_29,22,0,21,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_3,24,0,23,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_30,23,0,22,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_31,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_32,24,0,23,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_33,22,0,21,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_34,23,0,22,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_35,22,0,21,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_36,23,0,22,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_37,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_38,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_39,23,0,22,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_4,23,0,22,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_40,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_41,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_42,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_43,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_44,22,0,21,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_46,22,0,21,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_47,22,0,21,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_48,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_49,20,0,19,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_5,23,0,22,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_8,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,task_1/episode_9,21,0,20,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,2,task_2/episode_0,20,0,19,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_1,20,0,19,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_11,19,0,18,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_12,19,0,18,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_14,22,0,21,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_15,19,0,18,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_16,20,0,19,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_17,23,0,22,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_18,22,0,21,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_19,19,0,18,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_2,20,0,19,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_20,19,0,18,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_22,18,0,17,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_23,19,0,18,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_24,17,0,16,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_25,18,0,17,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_26,17,0,16,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_27,19,0,18,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_28,19,0,18,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_29,27,0,26,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_3,20,0,19,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_30,23,0,22,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_31,19,0,18,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_32,19,0,18,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_33,21,0,20,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_34,19,0,18,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_35,21,0,20,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_36,19,0,18,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_37,18,0,17,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_38,20,0,19,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_39,21,0,20,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_4,19,0,18,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_40,21,0,20,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_41,20,0,19,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_42,21,0,20,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_43,21,0,20,pick up the black bowl from table center and place it on the plate
libero_spatial,2,task_2/episode_44,19,0,18,pick up the black bowl from table center and place it on the plate
